row ID,Molecule,Molecule name,Mannhold LogP,Atomic Polarizabilities,Aromatic Atoms Count,Aromatic Bonds Count,Element Count,Bond Polarizabilities,Bond Count,Eccentric Connectivity Index,Fragment Complexity,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Largest Chain,Largest Pi Chain,Petitjean Number,Rotatable Bonds Count,Lipinski's Rule of Five,Topological Polar Surface Area,Vertex adjacency information magnitude,Molecular Weight,XLogP,Zagreb Index,Molecular Formula,Formal Charge,Formal Charge (pos),Formal Charge (neg),Heavy Atoms Count,Molar Mass,SP3 Character,Rotatable Bonds Count (non terminal)
Row14370,S=c1sc2ccccc2n1CCCCN3CCN(C4CCCCC4)CC3,C21H31N3S2,3.22,66.730583,9,10,57,43.249417,29,728,2950.05,370.908794977302,2,0,4,10,0.5,6,0,71.74,5.85798099512757,389.195939992001,4.459,136,C21H31N3S2,0,0,0,26,389.623896808332,0.245614035087719,6
Row14371,O=C(c1ccc(C)cc1)[C@H]2[C@](O)(c3ccc(C)cc3)CCN(C2)C,C21H25NO2,3.44,56.333825,12,12,49,30.268175,26,454,2049.03,323.024762445291,3,1,2,8,0.5,7,0,40.54,5.70043971814109,323.188529040001,3.694,128,C21H25NO2,0,0,0,24,323.429485740368,0.163265306122449,3
Row14375,OC1(C#C)C2(C(C3C(C4=C(CCCC4)CC3)CC2)CC1)C,C20H28O,3.55,54.672204,0,0,49,30.609796,24,351,2284.01,305.931167013096,1,1,2,2,0.5,2,0,20.23,5.58496250072116,284.214015516001,4.785,124,C20H28O,0,0,0,21,284.436463970452,0.326530612244898,0
Row14376,O=C1C=C2C(C3C(C4C(C(O)(C(=O)C)C(C4)=C)(C)CC3)CC2)CC1,C21H28O3,3.44,58.036204,0,0,52,32.525796,27,439,2473.03,338.171146339285,3,1,3,4,0.454545454545455,4,0,54.37,5.75488750216347,328.203844756001,2.369,142,C21H28O3,0,0,0,24,328.446009722378,0.288461538461538,1
Row14377,F[C@@]12[C@@]3(C(=CC(=O)CC3)CC[C@H]1[C@@H]4CC[C@]([C@]4(C[C@@H]2O)C)(OC(=O)C)C(=O)C)C,C23H31O5F,3.33,65.7175829999999,0,0,60,39.882417,32,555,3157.06,396.411127842448,5,1,3,4,0.5,9,0,80.67,6.0,406.215552312001,1.721,172,C23H31FO5,0,0,0,29,406.488516852571,0.3,3
Row14378,FC12C3(C(=CC(=O)CC3)CCC1C4CCC(C4(CC2O)C)(O)C(=O)C)C,C21H29O4F,3.22,60.061997,0,0,55,34.822003,29,461,2714.05,355.665390590953,4,2,3,4,0.454545454545455,7,0,74.6,5.85798099512757,364.204987628001,0.981,158,C21H29FO4,0,0,0,26,364.451758623774,0.309090909090909,1
Row14381,S(=O)(=O)(Oc1cc2c(C3C(C4C(C(O)CC4)(C)CC3)CC2)cc1)O,C18H24O5S,2.78,54.593032,6,6,48,34.628968,27,482,2049.06,314.109128621207,4,2,3,11,0.5,5,0,92.21,5.75488750216347,352.134444868001,2.386,140,C18H24O5S,0,0,0,24,352.446933864888,0.25,2
Row14382,O1C(COCCCC)C1,C7H14O2,2.01,23.259102,0,0,23,19.136898,9,101,457.02,134.852345782189,2,0,6,0,0.428571428571429,6,0,21.76,4.16992500144231,130.099379688,1.007,38,C7H14O2,0,0,0,9,130.185131686216,0.304347826086957,5
Row14383,O=C(OCCCC)C(O)C,C7H14O3,1.9,24.061102,0,0,24,18.178898,9,98,439.03,153.36257248275,3,1,8,3,0.428571428571429,8,0,46.53,4.16992500144231,146.094294308,1.08,38,C7H14O3,0,0,0,10,146.184536613785,0.25,5
Row14384,S1C(=NC(C1C)C)C,C6H11NS,1.9,21.894723,0,0,19,15.625277,8,51,305.02,126.845233320167,1,0,0,2,0.25,3,0,37.66,4.0,129.061220352,1.457,38,C6H11NS,0,0,0,8,129.224551872886,0.263157894736842,0
Row14385,O=C(Oc1cc2c(C3C(C4C(C(O)(c5cocc5)CC4)(C)CC3)=CC2)cc1)C,C24H26O4,3.66,62.784618,11,11,54,33.213382,32,662,2608.04,356.783492114247,2,1,3,9,0.5,6,0,59.67,6.0,378.183109312001,3.756,164,C24H26O4,0,0,0,28,378.46174083266,0.203703703703704,3
Row14386,O(c1cc2c(C3N(C4C(C(O)(C#C)CC4)(C)CC3)CC2)cc1)C,C20H25NO2,3.33,54.573825,6,6,48,31.226175,26,449,2095.03,309.545236520224,2,1,2,7,0.5,4,0,32.7,5.70043971814109,311.188529040001,2.662,134,C20H25NO2,0,0,0,23,311.41874984358,0.25,1
Row14389,O=C(OC1(C(=O)C)C2(C(C3C(C4(C(CC5(OCCO5)CC4)=C(C3)C)C)CC2)CC1)C)C,C26H38O5,3.77,75.1081339999999,0,0,69,49.205866,35,678,4399.05,432.511522869742,5,0,3,3,0.461538461538462,8,0,61.83,6.12928301694497,430.271924316001,4.094,186,C26H38O5,0,0,0,31,430.577906599715,0.318840579710145,3
Row14390,O=C(O)CCCCCCCCCCN,C11H23NO2,2.34,37.400239,0,0,37,25.441761,13,239,1114.03,224.753044493822,3,2,13,3,0.5,12,0,63.32,4.70043971814109,201.172878976,2.893,52,C11H23NO2,0,0,0,14,201.306245264836,0.27027027027027,10
Row14392,S=C(Nc1c(NC(=S)NC(=O)OC)cccc1)NC(=O)OC,C12H14N4O4S2,1.68,43.863102,6,6,36,25.972898,22,420,834.1,290.562600354912,8,4,6,20,0.461538461538462,10,0,164.9,5.4594316186373,342.045646928,1.776,100,C12H14N4O4S2,0,0,0,22,342.396603839515,0.0555555555555556,8
Row14393,O=C(NC)c1c2c(cc(Oc3c4c(ncc3)cc(OCC5(N)CC5)c(c4)OC)cc2)ccc1,C26H25N3O4,3.55,68.937825,20,22,58,35.356175,37,951,2788.07,392.01990718728,4,2,4,26,0.470588235294118,10,0,95.7,6.20945336562895,443.184506280001,3.6,182,C26H25N3O4,0,0,0,33,443.495381493518,0.103448275862069,7
Row14395,O=C1C=C2C(C3C(=C)CC4(C(O)(C#C)C=CC4C3CC2)C)CC1,C21H24O2,3.55,54.567032,0,0,47,27.194968,26,412,1994.02,324.108002237124,2,1,2,4,0.454545454545455,2,0,37.3,5.70043971814109,308.177630008001,2.677,136,C21H24O2,0,0,0,23,308.414841779506,0.25531914893617,0
Row14396,OC1(C#C)C2(C(C3C(C4C(=CC(O)CC4)CC3)C(C2)C)CC1)C,C21H30O2,3.55,58.56779,0,0,53,32.79621,26,412,2630.02,332.017378339524,2,2,2,2,0.454545454545455,4,0,40.46,5.70043971814109,314.224580200001,4.025,136,C21H30O2,0,0,0,23,314.46248630246,0.320754716981132,0
Row14398,O=C1C=C2C(C3C(C4C(C(C(O)C)CC4)(C)CC3)CC2)CC1,C20H30O2,3.44,56.80779,0,0,52,33.75421,25,401,2563.02,317.357852414457,2,1,3,4,0.454545454545455,4,0,37.3,5.64385618977472,302.224580200001,4.722,128,C20H30O2,0,0,0,22,302.451750405673,0.326923076923077,1
Row14400,O=C1C=C2C=CC3C4C(C(O)(C(=O)C)CC4)(C)CCC3C2CC1,C20H26O3,3.33,54.942618,0,0,49,30.339382,26,420,2198.03,320.875161713418,3,1,3,6,0.454545454545455,4,0,54.37,5.70043971814109,314.188194692001,2.505,136,C20H26O3,0,0,0,23,314.419392317939,0.285714285714286,1
Row14401,O=C(N(c1ccccc1)C2CCN(CCc3ccccc3)CC2)C=C,C22H26N2O,3.55,59.058618,12,12,51,33.341382,27,583,2209.03,339.890821877963,3,0,4,11,0.5,6,0,23.55,5.75488750216347,334.204513452001,3.974,124,C22H26N2O,0,0,0,25,334.455460670448,0.137254901960784,6
Row14402,Cl.O=C(N(c1ccccc1)C2CCN(CCc3ccccc3)CC2)C=C,C22H27N2OCl,3.44,61.905411,12,12,53,34.854589,27,-1834574902,2266.04,363.658348349197,3,0,4,11,0.999000000999,6,0,23.55,5.75488750216347,370.181191164001,4.486,124,C22H27ClN2O,0,0,0,26,370.916339002458,0.132075471698113,6
Row14403,ClC1C2=CC(=O)C=CC2(C3CCC4(C(C3C1)CCC4(O)C(=O)C)C)C,C21H27O3Cl,3.33,59.549411,0,0,52,31.852589,28,450,2425.04,353.382214109719,3,1,3,6,0.454545454545455,6,0,54.37,5.8073549220576,362.164872404001,2.936,150,C21H27ClO3,0,0,0,25,362.891006546737,0.288461538461538,1
Row14404,ClC1C2=CC(=O)C=CC2(C3CCC4(C(C3C1)CCC4(OC(=O)C)C(=O)C)C)C,C23H29O4Cl,3.44,65.204997,0,0,57,36.913003,31,544,2844.05,394.127951361213,4,0,3,6,0.5,8,0,60.44,5.95419631038688,404.175437088001,3.676,164,C23H29ClO4,0,0,0,28,404.927764775534,0.280701754385965,3
